simulation_id,time,action,state,expected_value
av5,2,A_dependent,s3,18.377385330000003
av5,2,A_independent,s1,14.519037557035956
av5,2,A_independent,s2,16.388374345246383
av5,2,A_independent,s3,17.377385330000003
av5,3,A_dependent,s1,13.910041730039952
av5,3,A_dependent,s2,15.987082605829313
av5,3,A_dependent,s3,17.0859837
av5,3,A_independent,s1,13.227662475761601
av5,3,A_independent,s2,15.096972758293102
av5,3,A_independent,s3,16.0859837
av5,4,A_dependent,s1,12.475180528624001
av5,4,A_dependent,s2,14.552191953659003
av5,4,A_dependent,s3,15.651093000000001
av5,4,A_independent,s1,11.793062456930002
av5,4,A_independent,s2,13.662082536590002
av5,4,A_independent,s3,14.651093000000001
av5,5,A_dependent,s1,10.881180507700002
av5,5,A_dependent,s2,12.957869485100002
av5,5,A_dependent,s3,14.056770000000002
av5,5,A_independent,s1,10.201921418
av5,5,A_independent,s2,12.067764851000002
av5,5,A_independent,s3,13.056770000000002
av5,6,A_dependent,s1,9.11324602
av5,6,A_dependent,s2,11.186405390000001
av5,6,A_dependent,s3,12.285300000000001
av5,6,A_independent,s1,8.4652751
av5,6,A_independent,s2,10.2963539
av5,6,A_independent,s3,11.285300000000001
av5,7,A_dependent,s1,7.183639
av5,7,A_dependent,s2,9.218171
av5,7,A_dependent,s3,10.317
av5,7,A_independent,s1,6.878
av5,7,A_independent,s2,8.328710000000001
av5,7,A_independent,s3,9.317
av5,8,A_dependent,s1,5.0761
av5,8,A_dependent,s2,7.0319
av5,8,A_dependent,s3,8.129999999999999
av5,8,A_independent,s1,5.42
av5,8,A_independent,s2,6.149
av5,8,A_independent,s3,7.13
av5,9,A_dependent,s1,2.8
av5,9,A_dependent,s2,4.61
av5,9,A_dependent,s3,5.7
av5,9,A_independent,s1,3.8
av5,9,A_independent,s2,3.8
av5,9,A_independent,s3,4.7
av5,10,A_dependent,s1,1.0
av5,10,A_dependent,s2,2.0
av5,10,A_dependent,s3,3.0
av5,10,A_independent,s1,2.0
av5,10,A_independent,s2,2.0
av5,10,A_independent,s3,2.0
